sampleID,sample.mass,d15N,d13C,Amt.N,per.N,Amt.C,per.C,date,length,sex,site,lifehistory,genotype,,
Onerka_LWA_31,0.489,11.155125,-23.14187843,0.06849304,0.140067566,0.269579239,0.551286786,2022,505,F,LB,Anadromous,Sockeye,,
Onerka_LWA_32,0.438,11.198125,-22.38057912,0.06515823,0.148763083,0.233444431,0.532978153,2022,549,F,SR,Anadromous,Sockeye,,
Onerka_LWA_33,0.45,11.476125,-21.95893003,0.063573043,0.14127343,0.23297662,0.517725823,2022,534,F,LB,Anadromous,NA,,
Onerka_LWA_34,0.51,11.354125,-22.32735876,0.072838819,0.142821213,0.281023379,0.551026233,2022,545,F,LB,Anadromous,NA,,
Onerka_LWA_35,0.425,12.379125,-21.81193221,0.060591465,0.142568152,0.21908407,0.515491929,2022,570,M,SR,Anadromous,NA,,
Onerka_LWA_36,0.47,11.500125,-22.07057635,0.068620933,0.146001986,0.227036846,0.48305712,2022,575,M,SR,Anadromous,Sockeye,,
Onerka_LWA_37,0.472,11.956125,-21.8983963,0.057665568,0.122172813,0.211236601,0.447535172,2022,NA,NA,SR,Anadromous,NA,,
Onerka_LWA_39,0.44,12.342125,-21.88105998,0.057992697,0.131801585,0.217536853,0.494401938,2022,NA,NA,SR,Anadromous,Sockeye,,
Onerka_LWA_40,0.469,11.577125,-22.99287759,0.060636706,0.129289352,0.243975227,0.520203043,2022,550,F,SR,Anadromous,NA,,
Onerka_LWA_41,0.457,11.999125,-22.0921448,0.062562073,0.136897316,0.249593002,0.546155366,2022,NA,NA,SR,Anadromous,Sockeye,,
Onerka_LWA_42,0.489,11.387125,-22.05315783,0.07556287,0.154525296,0.255397091,0.52228444,2022,NA,NA,LB,Anadromous,Sockeye,,
Onerka_LWA_43,0.402,11.286125,-24.8369964,0.038861699,0.096670892,0.210602728,0.523887384,2022,NA,NA,LB,Anadromous,Sockeye,,
Onerka-LWA_44,0.499,11.594125,-24.22562771,0.063563473,0.12738171,0.303822553,0.608862832,2022,NA,NA,SR,Anadromous,Kokanee,,
Onerka_LWA_50,0.48,12.69236364,-29.06632151,0.064303666,0.13396597,0.219900227,0.458125472,2022,NA,F,SR,Resident,Kokanee,,
Onerka_LWA_51,0.429,12.16236364,-29.78568419,0.0555879,0.129575525,0.19105668,0.445353566,2022,NA,M,SR,Resident,Kokanee,,
Onerka_LWA_52,0.422,12.75336364,-30.0529962,0.054732001,0.129696684,0.1955789,0.463457108,2022,NA,M,NC,Resident,Kokanee,,
Onerka_LWA_53,0.447,13.98936364,-28.71209517,0.058471141,0.130807921,0.199895706,0.447193973,2022,NA,F,SR,Resident,NA,,
Onerka_LWA_54,0.445,13.69336364,-29.5331423,0.056663945,0.127334709,0.198840625,0.446832865,2022,313,F,NC,Resident,Kokanee,,
Onerka_LWA_55,0.428,12.24136364,-30.11115525,0.047712691,0.11147825,0.200488605,0.468431321,2022,360,F,SR,Resident,Kokanee,,
Onerka_LWA_56,0.464,13.11536364,-29.23258108,0.056726653,0.122255719,0.193893571,0.417874076,2022,NA,NA,SR,Resident,Kokanee,,
Onerka_LWA_57,0.446,15.40336364,-28.49755325,0.060093547,0.134738895,0.206187287,0.462303334,2022,NA,NA,SR,Resident,NA,,
Onerka_LWA_58,0.459,13.01236364,-30.15044588,0.062281661,0.135689894,0.218266252,0.475525603,2022,325,F,NC,Resident,Kokanee,,
Onerka_LWA_59,0.465,13.27836364,-29.66052442,0.059407093,0.12775719,0.22023169,0.473616538,2022,NA,M,SR,Resident,NA,,
