sampleID,sample.mass,d15N,d13C,Amt.N,per.N,Amt.C,per.C,Date Collected,Total Length,Sex,Collection Site
Onerka_LWA_20,0.455,13.6541,-30.2858444,0.0651809,0.143254725,0.24212206,0.532136395,10/7/22,398,M,Sammamish River
Onerka_LWA_21,0.485,11.7061,-22.65242993,0.067980827,0.140166654,0.265282156,0.546973518,10/9/22,573,F,North creek
Onerka_LWA_22,0.487,12.8791,-21.57413895,0.068149156,0.139936665,0.233618275,0.479708983,10/15/20,486,NA,Sammamish River
Onerka_LWA_23,0.464,12.0011,-21.15240631,0.067919995,0.1463793,0.231376771,0.498656834,10/29/22,540,F,Sammamish River
Onerka_LWA_24,0.444,11.6221,-21.55428991,0.061030174,0.137455347,0.207437847,0.467202357,10/14/22,559,F,Sammamish River
Onerka_LWA_25,0.441,11.0701,-22.2627619,0.066733359,0.15132281,0.236647049,0.536614624,10/27/22,na,na,Sammamish River
Onerka_LWA_26,0.51,13.3161,-30.25648952,0.070679924,0.138588085,0.271153968,0.531674447,10/3/22,na,na,Sammamish River
Onerka_LWA_27,0.504,11.8101,-21.64471178,0.062686798,0.124378567,0.223200136,0.442857413,10/26/22,555,F,Sammamish River
Onerka_LWA_28,0.494,12.3891,-21.44593415,0.068780806,0.139232401,0.254021871,0.514214313,10/25/22,560,F,Sammamish River
Onerka_LWA_29,0.461,11.6891,-24.22954138,0.050265454,0.109035692,0.314242765,0.681654589,10/15/22,na,na,Sammamish River
Onerka_LWA_30,0.483,10.9031,-22.09292981,0.073725678,0.152641155,0.263868025,0.546310611,10/26/22,540,F,Sammamish River
Onerka_LWA_31,0.489,11.155125,-23.14187843,0.06849304,0.140067566,0.269579239,0.551286786,10/15/22,505,F,LB
Onerka_LWA_32,0.438,11.198125,-22.38057912,0.06515823,0.148763083,0.233444431,0.532978153,10/9/22,549,F,Sammamish River
Onerka_LWA_33,0.45,11.476125,-21.95893003,0.063573043,0.14127343,0.23297662,0.517725823,10/10/22,534,F,LB
Onerka_LWA_34,0.51,11.354125,-22.32735876,0.072838819,0.142821213,0.281023379,0.551026233,10/15/22,545,F,LB
